cliente_id,nome,idade,genero,endereco,telefone,cep,data_registro
1,Bryan Moraes,29,Masculino,"Ladeira de Duarte, 6 Indaiá 86182-803 da Mota de Araújo / ES",+55 21 2932 9993,73177-785,2020-10-15
2,Raquel Ferreira,24,Masculino,"Sítio de Peixoto, 965 Alto Vera Cruz 19229243 Pires / DF",0900 318 3978,16357292,2022-09-30
3,Luiz Otávio Rodrigues,52,Masculino,Jardim de Correia Conjunto Bonsucesso 71241789 Lopes / RR,+55 81 4992 7132,64263-185,2021-03-18
4,Maria Luiza Pires,54,Masculino,"Rua da Cunha, 5 Conjunto Taquaril 46546713 das Neves Alegre / AM",+55 61 6588-5366,56326-392,2024-07-04
5,Sra. Lorena Nogueira,18,Feminino,"Avenida de Moura, 298 Indaiá 27752-742 Pinto / SE",+55 (061) 7784-7228,28942-085,2021-03-19
6,Dr. Lucca Porto,24,Feminino,Trecho Davi Barros Marçola 70921193 Ribeiro Paulista / AL,0500 058 0221,48186-463,2020-08-15
7,Lorena da Cunha,23,Feminino,"Jardim de Ferreira, 67 Serra Verde 08167519 Mendes / ES",(011) 9060-9871,46788607,2024-05-29
8,Ana Sophia Gonçalves,42,Feminino,"Rodovia Araújo, 38 Barreiro 24578458 da Mota do Galho / GO",+55 (081) 2603-5727,12931-171,2024-06-10
9,Sr. Marcos Vinicius Melo,26,Masculino,"Lago de Cunha, 97 Tres Marias 60875-601 Duarte de Goiás / ES",+55 (031) 6615-0836,53557528,2021-10-20
10,Gabriel da Cunha,70,Masculino,"Colônia Viana, 93 Venda Nova 86276-827 Costela / SP",61 2414-0692,43276024,2024-12-15
11,Lorenzo Novaes,33,Feminino,"Campo Larissa Porto, 357 Lourdes 08221966 Rodrigues / RS",+55 51 6174 4314,86800-110,2024-09-08
12,Mirella da Conceição,58,Masculino,"Residencial de Martins, 4 Nova Floresta 17502-836 Ramos das Flores / MS",+55 (084) 1467 8968,18188263,2020-10-09
13,Maria Julia da Rosa,69,Feminino,"Jardim de Aragão, 1 Vila Vista Alegre 31840-432 Novaes Grande / RO",(011) 8323 8872,01737482,2020-12-24
14,Isis Barbosa,52,Masculino,"Viaduto Ramos, 6 Milionario 56285-326 Nogueira do Norte / RR",(071) 9926 2192,30729-794,2024-12-03
15,Ana Carolina Nascimento,19,Masculino,"Trevo de Pereira, 39 Providencia 19574609 Nunes / RS",(071) 9473 4966,20438237,2021-12-30
16,Sr. Bruno Lima,40,Feminino,Favela da Costa Vila Nova Cachoeirinha 3ª Seção 69117-389 Ramos de da Cruz / CE,41 3324-8355,22807544,2024-12-11
17,Benjamin Costa,51,Feminino,Avenida Vitor Hugo da Costa Vila Da Luz 23486-240 Porto de Oliveira / AL,0300-107-5055,84926-583,2022-12-21
18,Davi Lucas da Costa,27,Feminino,"Via Giovanna Costa, 665 Campo Alegre 03466-968 Moreira de Barros / SP",(061) 5609 1551,12742205,2022-03-22
19,Gustavo Martins,59,Masculino,"Vila Yasmin Pinto, 76 Jardim Do Vale 02396-698 Santos de Goiás / PR",+55 21 4915 7420,73563061,2022-12-01
20,Lara Pires,68,Feminino,"Via de Caldeira, 4 Solimoes 83197389 Duarte das Flores / PI",(081) 8448 0740,35608-345,2022-12-16
21,Maria Julia Caldeira,78,Masculino,"Avenida Aragão, 116 Varzea Da Palma 56735924 Cunha / CE",+55 61 2378 3592,52521256,2021-08-12
22,Cecília Teixeira,26,Feminino,"Lagoa Benício Nogueira, 75 Inconfidência 34855454 Santos do Galho / SE",(011) 3025-7232,78461-642,2020-11-30
23,Júlia Freitas,42,Feminino,"Colônia de Fogaça, 24 São Pedro 47236-080 Cavalcanti / PB",+55 (084) 4265-6898,13167229,2023-06-06
24,Nicole Farias,21,Feminino,"Feira de Nascimento, 19 Vila Jardim Montanhes 81517882 Silveira Paulista / PB",81 6634 7129,44000167,2020-03-09
25,Luiza da Mota,65,Masculino,"Setor Paulo Almeida, 78 Anchieta 67298-595 Porto / BA",+55 51 5061 5760,83571-684,2024-11-21
26,Sofia Silva,24,Feminino,"Viaduto Raquel Porto, 665 Indaiá 36523637 Pires do Galho / ES",(031) 6856-8087,94365-545,2024-11-16
27,Nina Moraes,33,Masculino,"Morro Ana Sophia da Costa, 91 Bela Vitoria 47341-789 Costela / DF",+55 41 9806 2916,00136-271,2023-11-23
28,Murilo da Rosa,71,Feminino,Esplanada Araújo Vila Ecológica 93240-206 Monteiro das Pedras / PI,+55 71 3554-4151,95054-905,2020-02-27
29,Alice Almeida,39,Feminino,Ladeira Stephany Santos Céu Azul 43833116 Nascimento da Prata / SP,84 0922-9773,20675-726,2023-06-30
30,Marcos Vinicius Oliveira,33,Feminino,"Viaduto de Porto, 50 Vila Pinho 20650-452 Novaes / SP",+55 41 0443-3016,83278-373,2022-03-13
31,Guilherme da Mota,29,Masculino,"Lago de Pinto, 306 Minas Brasil 41234780 Silveira / PI",0900 974 6532,95469-720,2023-01-13
32,Srta. Joana Melo,57,Masculino,Trevo de Rodrigues Novo Santa Cecilia 54226-587 da Rocha de Santos / ES,(061) 3442-7943,41018628,2020-04-05
33,Ana Lívia Cardoso,31,Feminino,"Largo Gomes, 52 Unidas 32984-499 Santos / DF",+55 51 2888 2180,34923504,2025-01-23
34,Igor Gonçalves,45,Masculino,"Viaduto Calebe Caldeira, 59 Barão Homem De Melo 1ª Seção 45020-985 Freitas / SE",(061) 0418 7776,60312-582,2022-05-28
35,Heloísa Campos,39,Feminino,"Praia Lívia Mendes, 716 Santa Efigênia 10269364 Martins das Flores / RN",(041) 0508-6230,74092509,2020-09-20
36,Dra. Bárbara Rodrigues,33,Feminino,"Sítio de Cavalcanti, 79 Bairro Das Indústrias Ii 01967062 Silveira da Serra / PB",31 9450 2928,76811410,2023-04-02
37,Davi Lucas Barros,50,Feminino,Núcleo Ana Beatriz Nascimento Minas Caixa 64910-670 Lopes Alegre / ES,61 7572 4217,77576123,2024-02-13
38,Sra. Mariana Silveira,45,Feminino,"Trevo de Castro, 47 Maria Tereza 23528-611 da Conceição / AP",+55 11 3474-3707,55028-925,2025-03-17
39,Rafaela Campos,24,Masculino,"Avenida de Castro, 910 Paraíso 61631-610 da Mata Grande / RS",+55 (061) 9273-9656,37202-751,2020-04-30
40,Dra. Rebeca Carvalho,52,Masculino,"Viela de Sales, 1 Grota 03028-019 Jesus de Moura / PR",71 2319-6311,67128-753,2022-04-25
41,Sra. Sophie Novaes,38,Feminino,"Parque Carvalho, 171 Laranjeiras 27956-332 Cardoso do Oeste / MT",+55 84 7615 0487,17458-976,2023-10-22
42,Guilherme Duarte,50,Feminino,"Fazenda Rodrigues, 73 Diamante 06649760 Ferreira de Costela / CE",+55 31 0992-5230,71655-859,2021-10-13
43,Juan da Rosa,67,Feminino,"Chácara Rebeca Lopes, 12 Vila Da Paz 30982293 Silva dos Dourados / RR",(011) 8871-1554,81938-692,2024-01-22
44,Cauã Barros,36,Feminino,"Rua Maria Cecília da Rosa, 7 Saudade 87002-206 Fogaça de da Paz / PR",21 0464-1856,85789-922,2023-01-05
45,Pedro Miguel Ferreira,56,Masculino,Vereda João Felipe da Mata Leonina 08570151 Vieira / RS,0800 654 8874,25194-949,2023-09-18
46,Sabrina Ribeiro,47,Feminino,"Favela Helena Lima, 39 Monte São José 89931626 Gonçalves / GO",(031) 3652-2967,34767-267,2020-10-15
47,Alice Barros,33,Masculino,"Vila Eduarda Fernandes, 21 Jonas Veiga 23673-087 Correia da Praia / MS",(011) 6366-8280,29340-155,2024-03-10
48,Dr. Caio da Rosa,23,Masculino,"Rodovia Moraes, 80 São Paulo 08431-420 Fogaça / RS",+55 21 6843-0961,37469738,2023-05-26
49,Lucas Porto,60,Feminino,"Via Caldeira, 67 João Alfredo 19889-307 Carvalho / CE",(031) 2399-7135,67392-443,2023-03-28
50,Gabrielly Rocha,55,Masculino,"Morro Lucas Gabriel Rodrigues, 3 Flamengo 18030-672 Castro do Norte / PE",+55 31 0717 8976,94996-858,2020-09-24
51,Catarina da Mata,53,Masculino,"Área da Rocha, 2 União 97715374 Teixeira Grande / CE",0800-174-6990,31972020,2021-03-20
52,Gustavo Henrique Rezende,24,Feminino,"Recanto Maitê Monteiro, 859 Havaí 31911649 da Rosa / RR",31 0712 8944,44149-048,2023-09-05
53,Sophia Oliveira,76,Masculino,"Rua de da Mata, 820 Nova Vista 51117450 Ferreira / CE",(071) 7269-3425,12875450,2023-11-13
54,Olivia das Neves,74,Feminino,"Campo de Silva, 56 Boa Esperança 34116-963 Vieira / AC",(031) 7458 3748,87497-260,2024-04-14
55,João Pedro Nascimento,65,Masculino,Praça Campos Parque São José 05693-898 da Rocha Paulista / MG,+55 61 7089-3545,68200-657,2022-03-17
56,Thomas Aragão,24,Masculino,"Sítio de Moreira, 4 Beija Flor 10387-101 Caldeira dos Dourados / PI",(051) 5100 7175,11584-604,2020-06-30
